a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,age,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,target
Non,0,3,14,4,Transformation Digitale,Occasionnel,2,3,4,5,2,4,3,3,Non,55,Célibataire,Consulting,Directeur Technique,8,24,0
Non,0,2,2,1,Infra & Cloud,Frequent,1,4,2,2,3,3,2,3,Non,34,Marié(e),Consulting,Tech Lead,1,10,0
Non,0,6,3,3,Transformation Digitale,Occasionnel,1,4,3,4,2,3,3,3,Non,51,Célibataire,Consulting,Manager,3,7,0
Non,1,5,1,4,Infra & Cloud,Occasionnel,11,3,2,5,3,1,3,3,Non,52,Marié(e),Consulting,Senior Manager,0,33,0
Non,0,2,9,3,Transformation Digitale,Occasionnel,0,4,3,1,2,4,2,3,Non,27,Célibataire,Consulting,Assistant de Direction,1,7,0
Oui,0,1,23,2,Infra & Cloud,Occasionnel,0,2,2,2,3,1,3,3,Oui,35,Marié(e),Consulting,Tech Lead,3,1,1
Non,3,3,7,3,Transformation Digitale,Aucun,2,4,4,1,4,4,4,3,Non,43,Divorcé(e),Consulting,Assistant de Direction,4,5,0
Non,1,1,2,2,Transformation Digitale,Aucun,11,1,2,4,4,4,3,4,Non,45,Marié(e),Consulting,Senior Manager,9,20,0
Non,1,3,21,3,Infra & Cloud,Occasionnel,1,2,4,1,1,1,2,3,Oui,37,Marié(e),Consulting,Assistant de Direction,1,8,0
Non,0,5,2,3,Transformation Digitale,Frequent,1,2,3,2,2,4,3,3,Non,35,Célibataire,Consulting,Consultant,5,6,0
Non,1,5,21,2,Transformation Digitale,Aucun,0,3,3,2,3,2,3,3,Non,42,Divorcé(e),Consulting,Tech Lead,2,5,0
Non,0,3,2,4,Infra & Cloud,Occasionnel,0,4,3,2,3,2,3,3,Non,38,Marié(e),Consulting,Tech Lead,9,1,0
Non,1,3,29,3,Entrepreunariat,Occasionnel,1,4,3,2,4,1,1,3,Non,38,Marié(e),Consulting,Tech Lead,3,7,0
Non,1,1,1,1,Entrepreunariat,Frequent,2,3,2,2,1,3,3,3,Non,27,Marié(e),Consulting,Tech Lead,5,2,0
Non,2,0,18,4,Infra & Cloud,Aucun,1,4,3,2,4,1,3,3,Oui,49,Divorcé(e),Consulting,Tech Lead,1,7,0
Non,1,4,10,4,Transformation Digitale,Frequent,2,4,3,1,3,4,4,3,Oui,34,Divorcé(e),Consulting,Assistant de Direction,1,5,0
Non,1,2,19,2,Transformation Digitale,Occasionnel,3,3,3,2,4,3,4,3,Oui,40,Marié(e),Consulting,Consultant,8,7,0
Oui,0,2,29,1,Transformation Digitale,Occasionnel,0,2,3,2,1,2,3,3,Oui,38,Marié(e),Consulting,Manager,7,1,1
Oui,3,3,27,3,Marketing,Occasionnel,1,2,3,3,4,4,2,4,Non,29,Marié(e),Commercial,Cadre Commercial,1,10,1
Non,1,2,5,3,Infra & Cloud,Occasionnel,2,4,4,1,2,1,2,3,Oui,22,Divorcé(e),Consulting,Assistant de Direction,1,4,0
Non,0,2,18,1,Transformation Digitale,Frequent,1,2,3,1,4,1,3,3,Non,36,Célibataire,Consulting,Consultant,1,8,0
Non,1,5,9,5,Infra & Cloud,Aucun,0,4,2,2,4,4,1,3,Non,40,Marié(e),Consulting,Manager,9,3,0
Non,1,3,1,4,Transformation Digitale,Occasionnel,0,4,3,3,1,3,3,3,Non,46,Divorcé(e),Consulting,Manager,7,4,0
Oui,0,2,4,4,Transformation Digitale,Occasionnel,9,4,1,3,4,3,2,3,Non,32,Marié(e),Commercial,Cadre Commercial,1,14,1
Non,0,2,1,1,Infra & Cloud,Aucun,5,3,2,3,3,3,3,4,Non,30,Célibataire,Consulting,Tech Lead,1,11,0
Non,0,2,20,3,Infra & Cloud,Frequent,0,4,3,2,3,4,3,3,Non,27,Célibataire,Commercial,Cadre Commercial,1,7,0
Non,2,5,8,4,Infra & Cloud,Occasionnel,4,2,2,3,2,4,1,3,Non,51,Marié(e),Consulting,Directeur Technique,5,10,0
Oui,0,5,3,3,Entrepreunariat,Occasionnel,0,4,3,1,1,3,3,3,Oui,30,Célibataire,Consulting,Assistant de Direction,5,5,1
Non,0,3,6,3,Infra & Cloud,Occasionnel,0,4,3,3,4,3,3,3,Oui,41,Célibataire,Commercial,Senior Manager,3,1,0
Oui,0,5,26,4,Marketing,Frequent,0,3,2,2,1,3,2,3,Non,30,Célibataire,Commercial,Cadre Commercial,5,6,1
Oui,0,1,1,3,Entrepreunariat,Occasionnel,1,3,3,1,3,4,2,3,Non,29,Célibataire,Consulting,Assistant de Direction,0,6,1
Non,0,2,6,3,Transformation Digitale,Aucun,12,4,2,3,4,4,3,3,Non,45,Célibataire,Commercial,Cadre Commercial,6,19,0
Non,1,4,3,3,Marketing,Occasionnel,0,4,3,2,1,4,3,3,Non,54,Marié(e),Commercial,Cadre Commercial,2,6,0
Non,0,3,5,2,Infra & Cloud,Occasionnel,3,4,3,2,2,4,4,3,Non,36,Célibataire,Consulting,Consultant,8,13,0
Non,0,3,4,4,Transformation Digitale,Occasionnel,1,3,2,1,2,4,3,4,Non,33,Marié(e),Consulting,Assistant de Direction,6,3,0
Non,3,1,11,3,Autre,Frequent,0,2,3,3,4,3,3,3,Oui,37,Divorcé(e),Consulting,Directeur Technique,1,10,0
Non,2,6,3,3,Infra & Cloud,Occasionnel,5,1,3,3,3,3,2,3,Non,38,Divorcé(e),Commercial,Cadre Commercial,0,16,0
Non,1,2,1,4,Transformation Digitale,Aucun,1,3,1,2,3,4,3,3,Non,31,Marié(e),Consulting,Tech Lead,0,5,0
Non,1,6,3,3,Infra & Cloud,Occasionnel,0,3,2,1,4,1,3,3,Non,59,Marié(e),Consulting,Assistant de Direction,3,1,0
Non,1,2,4,4,Marketing,Frequent,5,1,3,1,4,3,3,3,Non,37,Divorcé(e),Commercial,Représentant Commercial,4,9,0
Non,1,5,1,1,Transformation Digitale,Frequent,4,2,3,3,4,4,3,3,Non,29,Marié(e),Commercial,Cadre Commercial,1,11,0
Non,0,3,1,3,Marketing,Frequent,0,3,3,3,3,1,4,3,Non,35,Célibataire,Commercial,Cadre Commercial,1,10,0
Oui,0,3,18,1,Transformation Digitale,Occasionnel,0,3,2,1,4,3,2,3,Oui,29,Célibataire,Consulting,Assistant de Direction,1,4,1
Non,0,3,2,3,Infra & Cloud,Occasionnel,2,3,2,1,4,2,2,3,Non,52,Célibataire,Consulting,Consultant,7,2,0
Non,0,3,4,2,Entrepreunariat,Occasionnel,11,3,3,5,4,4,3,3,Non,42,Marié(e),Consulting,Senior Manager,1,22,0
Non,0,2,6,2,Transformation Digitale,Occasionnel,2,2,3,1,3,4,2,3,Non,59,Marié(e),Ressources Humaines,Ressources Humaines,8,2,0
Non,1,3,1,4,Transformation Digitale,Occasionnel,0,4,3,5,4,3,2,3,Non,50,Divorcé(e),Commercial,Senior Manager,3,7,0
Oui,1,2,14,3,Transformation Digitale,Occasionnel,0,3,3,1,4,3,1,3,Oui,33,Marié(e),Consulting,Consultant,5,5,1
Non,1,3,16,3,Marketing,Occasionnel,1,4,3,4,4,3,3,4,Oui,43,Marié(e),Commercial,Senior Manager,5,17,0
Oui,0,3,2,2,Infra & Cloud,Occasionnel,1,1,3,1,1,1,4,4,Non,33,Marié(e),Consulting,Consultant,7,9,1
Non,0,2,2,4,Infra & Cloud,Aucun,15,1,2,5,3,4,4,3,Oui,52,Célibataire,Commercial,Senior Manager,1,33,0
Non,1,5,4,2,Infra & Cloud,Occasionnel,1,3,3,1,2,1,3,3,Non,32,Marié(e),Commercial,Représentant Commercial,2,4,0
Oui,0,2,1,3,Infra & Cloud,Occasionnel,1,4,2,1,3,4,1,3,Oui,32,Célibataire,Consulting,Consultant,0,3,1
Non,3,1,1,4,Transformation Digitale,Occasionnel,1,3,3,1,3,3,3,3,Non,39,Divorcé(e),Consulting,Consultant,7,3,0
Non,0,2,26,4,Marketing,Aucun,2,3,3,2,4,1,3,3,Non,32,Marié(e),Commercial,Cadre Commercial,0,3,0
Non,2,2,19,2,Infra & Cloud,Occasionnel,0,3,3,2,1,1,2,3,Non,41,Divorcé(e),Consulting,Assistant de Direction,2,1,0
Non,2,3,24,2,Entrepreunariat,Occasionnel,4,1,3,2,4,1,3,3,Non,40,Divorcé(e),Consulting,Assistant de Direction,1,9,0
Non,1,2,1,3,Autre,Occasionnel,1,3,4,5,4,3,3,3,Non,45,Marié(e),Consulting,Senior Manager,0,24,0
Non,1,3,3,4,Transformation Digitale,Frequent,2,2,3,3,3,1,3,3,Non,31,Divorcé(e),Consulting,Directeur Technique,9,2,0
Non,1,2,5,4,Infra & Cloud,Occasionnel,0,3,2,1,4,3,2,3,Non,33,Marié(e),Consulting,Assistant de Direction,1,2,0
Non,1,3,2,4,Infra & Cloud,Occasionnel,5,4,2,2,1,2,3,3,Non,34,Marié(e),Consulting,Tech Lead,6,11,0
Non,1,2,1,2,Transformation Digitale,Occasionnel,0,3,2,1,1,1,2,3,Non,37,Marié(e),Consulting,Assistant de Direction,2,3,0
Non,1,1,7,4,Infra & Cloud,Frequent,0,1,4,2,3,4,3,3,Non,45,Marié(e),Consulting,Tech Lead,4,3,0
Oui,2,5,10,3,Transformation Digitale,Frequent,0,1,3,3,3,2,3,3,Non,37,Divorcé(e),Consulting,Tech Lead,6,1,1
Non,0,1,2,4,Entrepreunariat,Frequent,11,3,3,3,3,4,3,4,Non,39,Célibataire,Consulting,Manager,0,19,0
Non,0,1,15,3,Infra & Cloud,Occasionnel,1,3,3,1,4,1,3,3,Non,29,Célibataire,Consulting,Assistant de Direction,1,6,0
Non,0,1,17,2,Infra & Cloud,Occasionnel,0,4,4,2,1,3,3,3,Oui,42,Célibataire,Consulting,Assistant de Direction,3,3,0
Non,1,2,20,2,Marketing,Occasionnel,0,4,3,2,4,4,3,3,Non,29,Divorcé(e),Commercial,Cadre Commercial,2,3,0
Non,2,3,1,3,Infra & Cloud,Occasionnel,1,1,3,2,3,4,3,3,Non,25,Marié(e),Consulting,Tech Lead,0,4,0
Non,1,4,2,3,Transformation Digitale,Occasionnel,7,4,2,1,1,3,3,3,Oui,42,Divorcé(e),Consulting,Consultant,0,9,0
Non,1,5,2,2,Transformation Digitale,Occasionnel,3,1,3,5,3,4,3,3,Non,40,Divorcé(e),Consulting,Directeur Technique,0,21,0
Non,0,0,1,3,Infra & Cloud,Occasionnel,0,3,3,1,4,2,2,3,Non,51,Marié(e),Consulting,Assistant de Direction,1,1,0
Oui,0,2,29,2,Transformation Digitale,Frequent,1,3,2,1,2,2,4,3,Non,31,Célibataire,Consulting,Consultant,0,5,1
Non,0,3,7,3,Infra & Cloud,Frequent,0,2,4,1,2,3,1,4,Non,32,Marié(e),Consulting,Consultant,1,5,0
Non,1,0,2,2,Infra & Cloud,Aucun,7,4,2,2,4,4,3,3,Non,38,Marié(e),Commercial,Cadre Commercial,3,8,0
Non,0,5,2,1,Entrepreunariat,Occasionnel,0,4,2,2,1,4,3,3,Non,32,Célibataire,Consulting,Consultant,4,6,0
Non,1,2,2,3,Entrepreunariat,Occasionnel,7,3,1,4,2,2,2,3,Oui,46,Marié(e),Commercial,Senior Manager,3,7,0
Oui,0,5,2,4,Infra & Cloud,Occasionnel,0,1,3,1,3,3,1,3,Non,28,Célibataire,Consulting,Consultant,2,0,1
Non,2,2,2,3,Transformation Digitale,Occasionnel,0,1,2,2,2,2,3,3,Non,29,Marié(e),Commercial,Cadre Commercial,2,0,0
Non,1,2,23,3,Transformation Digitale,Occasionnel,7,2,2,2,4,2,3,4,Non,31,Marié(e),Consulting,Manager,0,9,0
Non,2,2,5,2,Infra & Cloud,Aucun,1,2,4,2,1,4,3,3,Non,25,Divorcé(e),Consulting,Manager,1,6,0
Non,0,2,20,2,Transformation Digitale,Occasionnel,4,3,3,4,4,2,3,3,Oui,45,Marié(e),Consulting,Manager,0,20,0
Non,1,4,6,3,Infra & Cloud,Occasionnel,10,4,3,1,4,3,3,3,Non,36,Marié(e),Consulting,Consultant,0,15,0
Non,0,2,1,3,Transformation Digitale,Occasionnel,4,4,3,5,1,3,3,3,Oui,55,Célibataire,Consulting,Senior Manager,0,36,0
Oui,1,2,29,4,Infra & Cloud,Aucun,9,1,3,3,2,4,2,3,Oui,47,Marié(e),Consulting,Senior Manager,1,10,1
Non,1,3,9,3,Transformation Digitale,Occasionnel,0,4,3,1,4,4,2,4,Non,28,Marié(e),Consulting,Assistant de Direction,1,5,0
Non,1,5,6,4,Transformation Digitale,Occasionnel,0,3,3,2,4,2,4,3,Non,37,Marié(e),Commercial,Cadre Commercial,4,5,0
Non,0,4,3,2,Transformation Digitale,Occasionnel,1,4,2,1,3,1,4,3,Non,21,Célibataire,Consulting,Assistant de Direction,1,3,0
Non,2,2,1,4,Transformation Digitale,Aucun,0,1,3,3,4,1,3,3,Oui,37,Divorcé(e),Consulting,Directeur Technique,2,5,0
Non,1,6,22,3,Infra & Cloud,Occasionnel,6,2,4,3,2,2,2,3,Non,35,Divorcé(e),Consulting,Senior Manager,7,7,0
Non,1,3,7,2,Transformation Digitale,Occasionnel,7,1,4,2,1,3,3,4,Oui,38,Divorcé(e),Commercial,Cadre Commercial,1,8,0
Non,1,6,1,3,Infra & Cloud,Frequent,1,3,3,2,2,1,1,4,Non,26,Divorcé(e),Consulting,Tech Lead,1,6,0
Non,2,4,4,1,Infra & Cloud,Occasionnel,1,1,3,5,2,1,2,3,Non,50,Divorcé(e),Consulting,Directeur Technique,3,10,0
Non,3,5,3,4,Transformation Digitale,Occasionnel,1,3,3,4,3,4,2,3,Oui,53,Marié(e),Consulting,Directeur Technique,3,5,0
Non,0,3,1,1,Infra & Cloud,Occasionnel,11,2,3,2,3,3,3,4,Non,42,Marié(e),Commercial,Cadre Commercial,1,20,0
Non,0,3,2,2,Infra & Cloud,Frequent,0,2,3,2,4,1,2,3,Non,29,Célibataire,Commercial,Cadre Commercial,1,10,0
Non,1,4,20,2,Entrepreunariat,Occasionnel,0,2,3,2,4,4,3,3,Oui,55,Marié(e),Consulting,Consultant,3,10,0
Non,1,3,11,2,Transformation Digitale,Frequent,3,1,3,2,1,3,3,3,Oui,26,Marié(e),Consulting,Manager,1,5,0
Non,0,3,1,3,Infra & Cloud,Occasionnel,5,4,3,1,4,2,3,3,Non,37,Célibataire,Consulting,Assistant de Direction,1,17,0
Oui,1,0,24,3,Infra & Cloud,Frequent,0,4,3,1,3,4,1,4,Oui,44,Divorcé(e),Consulting,Consultant,3,1,1
Non,1,2,23,4,Infra & Cloud,Occasionnel,1,4,3,2,4,2,3,3,Non,38,Divorcé(e),Consulting,Manager,9,2,0
Oui,1,2,16,4,Transformation Digitale,Occasionnel,0,1,3,1,2,4,3,3,Oui,26,Divorcé(e),Consulting,Consultant,2,3,1
Non,0,3,8,2,Infra & Cloud,Occasionnel,0,4,3,1,4,4,3,4,Non,28,Célibataire,Consulting,Assistant de Direction,1,5,0
Non,0,4,10,4,Infra & Cloud,Frequent,1,3,3,5,1,4,3,3,Oui,49,Célibataire,Consulting,Directeur Technique,9,3,0
Non,0,2,3,3,Entrepreunariat,Occasionnel,7,3,3,2,2,4,3,3,Non,36,Célibataire,Consulting,Assistant de Direction,4,8,0
Non,1,5,5,3,Marketing,Frequent,2,4,3,1,2,3,2,3,Non,31,Divorcé(e),Commercial,Représentant Commercial,1,2,0
Oui,0,0,4,4,Marketing,Occasionnel,7,4,2,2,4,2,3,3,Oui,26,Célibataire,Commercial,Cadre Commercial,1,8,1
Non,3,3,9,3,Transformation Digitale,Frequent,1,2,3,1,4,3,2,3,Oui,37,Marié(e),Consulting,Assistant de Direction,1,4,0
Non,1,2,26,3,Marketing,Frequent,4,3,3,4,2,4,4,3,Non,42,Marié(e),Commercial,Cadre Commercial,5,20,0
Oui,0,2,3,3,Infra & Cloud,Occasionnel,0,3,3,1,3,3,3,3,Non,18,Célibataire,Consulting,Consultant,1,0,1
Non,2,3,16,3,Marketing,Occasionnel,6,3,3,3,2,3,2,3,Non,35,Marié(e),Commercial,Cadre Commercial,0,11,0
Non,2,2,18,4,Infra & Cloud,Frequent,0,3,4,1,4,4,3,3,Non,36,Marié(e),Consulting,Consultant,4,1,0
Non,1,3,2,3,Transformation Digitale,Occasionnel,1,4,1,2,2,4,3,3,Non,51,Divorcé(e),Consulting,Tech Lead,5,4,0
Non,0,2,2,4,Infra & Cloud,Occasionnel,0,4,3,4,2,2,3,3,Non,41,Célibataire,Commercial,Senior Manager,1,22,0
Non,0,2,10,3,Transformation Digitale,Occasionnel,0,4,2,1,3,1,3,3,Non,18,Célibataire,Commercial,Représentant Commercial,1,0,0
Non,0,2,16,2,Transformation Digitale,Occasionnel,0,2,4,2,1,3,3,3,Non,28,Célibataire,Consulting,Manager,0,8,0
Non,1,3,7,3,Entrepreunariat,Occasionnel,7,2,4,2,4,2,2,3,Non,31,Marié(e),Commercial,Cadre Commercial,4,8,0
Non,3,5,1,3,Transformation Digitale,Occasionnel,3,3,4,3,4,1,2,3,Non,39,Divorcé(e),Consulting,Manager,0,18,0
Non,1,3,24,4,Infra & Cloud,Aucun,0,2,3,2,2,3,3,3,Non,36,Marié(e),Consulting,Consultant,7,9,0
Non,1,3,7,3,Infra & Cloud,Occasionnel,4,4,2,2,3,3,2,3,Non,32,Marié(e),Commercial,Cadre Commercial,1,13,0
Non,1,2,25,2,Infra & Cloud,Occasionnel,0,1,2,3,2,3,3,3,Non,38,Marié(e),Consulting,Directeur Technique,3,10,0
Non,1,2,1,4,Infra & Cloud,Aucun,1,4,1,2,3,4,3,3,Oui,58,Divorcé(e),Consulting,Manager,2,5,0
Non,1,4,5,4,Entrepreunariat,Occasionnel,0,3,3,1,4,3,3,3,Oui,31,Marié(e),Consulting,Assistant de Direction,0,5,0
Non,0,1,2,3,Ressources Humaines,Occasionnel,1,1,2,2,1,4,3,3,Non,31,Marié(e),Ressources Humaines,Ressources Humaines,3,2,0
Non,1,2,7,3,Infra & Cloud,Frequent,9,1,3,3,1,1,3,3,Non,45,Divorcé(e),Consulting,Consultant,1,24,0
Non,1,2,2,4,Infra & Cloud,Occasionnel,2,3,3,1,4,2,1,3,Oui,31,Divorcé(e),Consulting,Assistant de Direction,0,2,0
Non,2,2,5,4,Infra & Cloud,Frequent,8,4,3,3,2,2,3,3,Non,33,Marié(e),Consulting,Senior Manager,6,10,0
Non,0,3,10,1,Transformation Digitale,Occasionnel,11,3,3,4,1,4,3,3,Oui,39,Marié(e),Consulting,Senior Manager,1,21,0
Non,0,5,10,4,Infra & Cloud,Frequent,1,3,3,1,4,1,3,3,Non,43,Célibataire,Consulting,Consultant,0,8,0
Non,0,2,1,2,Entrepreunariat,Occasionnel,0,3,2,4,3,4,3,3,Oui,49,Célibataire,Consulting,Manager,7,7,0
Oui,0,3,8,4,Transformation Digitale,Occasionnel,7,3,2,2,2,1,2,3,Non,52,Marié(e),Consulting,Assistant de Direction,2,8,1
Non,0,2,5,3,Infra & Cloud,Occasionnel,1,3,3,1,2,2,2,3,Oui,27,Célibataire,Consulting,Assistant de Direction,1,4,0
Non,0,2,8,2,Entrepreunariat,Occasionnel,11,3,2,2,2,4,3,3,Oui,32,Marié(e),Commercial,Cadre Commercial,1,13,0
Non,0,3,2,3,Infra & Cloud,Occasionnel,0,4,3,2,3,1,3,3,Oui,27,Célibataire,Commercial,Cadre Commercial,1,5,0
Non,3,3,7,3,Marketing,Occasionnel,1,4,3,2,4,4,3,3,Non,31,Divorcé(e),Commercial,Cadre Commercial,4,7,0
Non,0,0,2,4,Transformation Digitale,Occasionnel,0,1,4,2,4,3,2,3,Non,32,Célibataire,Consulting,Assistant de Direction,7,7,0
Oui,0,4,2,4,Transformation Digitale,Occasionnel,2,1,1,1,4,4,2,3,Oui,28,Marié(e),Consulting,Assistant de Direction,5,3,1
Non,2,2,28,2,Transformation Digitale,Occasionnel,1,4,3,2,4,4,3,3,Non,30,Marié(e),Consulting,Assistant de Direction,1,10,0
Non,1,2,7,2,Infra & Cloud,Frequent,8,3,2,3,3,1,3,4,Non,31,Marié(e),Consulting,Tech Lead,1,10,0
Non,1,2,7,2,Transformation Digitale,Frequent,13,3,2,5,4,1,3,3,Non,39,Marié(e),Consulting,Senior Manager,1,21,0
Oui,0,3,3,2,Transformation Digitale,Occasionnel,0,4,3,2,3,1,2,3,Oui,39,Marié(e),Commercial,Cadre Commercial,4,1,1
Non,0,6,10,3,Marketing,Frequent,0,2,2,2,4,3,2,3,Non,33,Célibataire,Commercial,Cadre Commercial,3,7,0
Non,1,2,5,5,Infra & Cloud,Occasionnel,1,4,3,5,3,2,3,3,Non,47,Marié(e),Consulting,Directeur Technique,4,3,0
Non,1,3,10,4,Infra & Cloud,Frequent,0,3,2,2,3,2,4,3,Non,43,Divorcé(e),Consulting,Consultant,1,9,0
Non,1,0,1,1,Marketing,Aucun,1,3,3,2,2,4,3,3,Oui,27,Marié(e),Commercial,Cadre Commercial,0,5,0
Non,0,4,20,4,Infra & Cloud,Frequent,0,4,3,2,3,4,2,3,Non,54,Célibataire,Consulting,Assistant de Direction,3,4,0
Non,1,1,7,3,Infra & Cloud,Occasionnel,0,3,3,3,1,1,2,3,Non,43,Marié(e),Consulting,Manager,8,1,0
Non,2,3,8,4,Autre,Occasionnel,9,4,3,2,4,1,3,3,Non,45,Marié(e),Consulting,Assistant de Direction,9,10,0
Non,3,2,1,2,Transformation Digitale,Occasionnel,0,2,1,2,4,3,2,4,Oui,40,Marié(e),Commercial,Cadre Commercial,2,4,0
Oui,0,4,8,4,Autre,Occasionnel,0,2,1,1,1,4,2,3,Oui,29,Marié(e),Consulting,Consultant,1,7,1
Non,0,2,9,5,Autre,Occasionnel,2,2,2,1,4,3,3,3,Non,29,Célibataire,Consulting,Consultant,0,3,0
Non,3,2,5,3,Marketing,Occasionnel,1,4,2,2,3,3,3,3,Non,30,Divorcé(e),Commercial,Cadre Commercial,1,10,0
Non,1,3,8,4,Marketing,Occasionnel,0,2,3,2,2,1,3,3,Non,27,Marié(e),Commercial,Cadre Commercial,1,8,0
Non,2,2,5,2,Transformation Digitale,Occasionnel,0,4,3,2,4,3,2,3,Non,37,Divorcé(e),Consulting,Tech Lead,7,6,0
Non,1,3,15,2,Infra & Cloud,Occasionnel,2,3,2,3,4,2,3,3,Oui,38,Divorcé(e),Consulting,Directeur Technique,0,11,0
Non,0,2,7,4,Transformation Digitale,Occasionnel,4,3,3,3,4,3,2,3,Oui,31,Célibataire,Consulting,Tech Lead,1,11,0
Non,2,2,10,1,Marketing,Occasionnel,1,4,2,2,2,1,3,3,Oui,29,Divorcé(e),Commercial,Cadre Commercial,1,7,0
Non,0,5,5,4,Entrepreunariat,Occasionnel,0,3,3,3,2,4,3,3,Non,35,Célibataire,Consulting,Tech Lead,0,16,0
Non,2,2,26,1,Infra & Cloud,Occasionnel,0,3,3,1,4,3,2,3,Non,23,Divorcé(e),Consulting,Assistant de Direction,1,4,0
Non,0,3,6,3,Transformation Digitale,Occasionnel,1,4,2,2,2,4,3,3,Oui,41,Célibataire,Consulting,Tech Lead,6,5,0
Non,0,3,4,1,Transformation Digitale,Frequent,0,2,3,2,3,1,3,3,Non,47,Célibataire,Commercial,Représentant Commercial,3,0,0
Non,0,2,23,5,Infra & Cloud,Occasionnel,0,1,3,4,4,2,3,3,Non,42,Célibataire,Consulting,Directeur Technique,2,1,0
Non,1,3,2,3,Infra & Cloud,Aucun,0,4,3,2,3,1,2,3,Non,29,Marié(e),Commercial,Cadre Commercial,1,4,0
Non,1,5,2,1,Entrepreunariat,Occasionnel,1,3,3,1,3,3,3,3,Oui,42,Divorcé(e),Ressources Humaines,Ressources Humaines,0,3,0
Non,1,4,2,3,Transformation Digitale,Occasionnel,0,3,3,1,2,3,3,3,Non,32,Marié(e),Consulting,Consultant,1,8,0
Non,1,3,29,1,Transformation Digitale,Occasionnel,0,1,3,3,3,2,1,4,Non,48,Marié(e),Commercial,Senior Manager,3,0,0
Non,2,2,6,3,Transformation Digitale,Occasionnel,6,3,4,2,1,1,3,3,Oui,37,Divorcé(e),Consulting,Assistant de Direction,4,7,0
Non,1,2,25,2,Entrepreunariat,Aucun,2,4,3,2,3,2,4,3,Oui,30,Marié(e),Commercial,Cadre Commercial,7,2,0
Non,1,3,1,3,Infra & Cloud,Occasionnel,7,3,3,2,3,2,3,3,Non,26,Marié(e),Commercial,Cadre Commercial,1,8,0
Non,0,6,2,4,Autre,Occasionnel,0,1,2,2,4,2,3,4,Non,42,Célibataire,Consulting,Manager,3,1,0
Oui,0,3,1,1,Entrepreunariat,Frequent,1,1,2,1,2,3,3,3,Oui,21,Célibataire,Commercial,Représentant Commercial,1,3,1
Non,0,6,1,5,Transformation Digitale,Aucun,0,4,3,2,4,2,3,3,Non,36,Célibataire,Commercial,Cadre Commercial,4,1,0
Non,1,2,3,4,Transformation Digitale,Frequent,1,1,2,3,4,1,3,3,Non,36,Marié(e),Commercial,Cadre Commercial,4,13,0
Non,0,2,1,4,Transformation Digitale,Occasionnel,1,4,3,2,3,3,3,3,Non,57,Marié(e),Consulting,Manager,2,3,0
Non,1,3,10,4,Infra & Cloud,Occasionnel,1,4,4,1,3,3,3,3,Oui,40,Marié(e),Consulting,Consultant,3,7,0
Non,0,3,9,2,Transformation Digitale,Aucun,2,1,3,1,4,3,2,4,Non,21,Célibataire,Commercial,Représentant Commercial,1,3,0
Oui,0,2,5,3,Marketing,Occasionnel,0,4,3,1,3,2,3,3,Oui,33,Célibataire,Commercial,Représentant Commercial,1,1,1
Non,1,3,10,3,Transformation Digitale,Occasionnel,0,3,3,1,1,2,3,4,Non,37,Marié(e),Consulting,Consultant,6,5,0
Non,0,2,7,4,Transformation Digitale,Aucun,0,3,3,2,3,3,4,3,Non,46,Marié(e),Consulting,Tech Lead,2,1,0
Oui,0,5,4,3,Marketing,Frequent,7,1,3,2,2,3,3,3,Non,41,Célibataire,Commercial,Cadre Commercial,1,8,1
Non,0,2,10,3,Entrepreunariat,Occasionnel,1,4,2,3,4,4,3,3,Non,50,Célibataire,Consulting,Manager,6,4,0
Oui,2,6,22,2,Marketing,Occasionnel,1,3,2,2,3,1,3,3,Oui,40,Marié(e),Commercial,Cadre Commercial,2,6,1
Non,0,5,9,4,Infra & Cloud,Occasionnel,2,3,2,1,2,4,3,3,Oui,31,Célibataire,Consulting,Assistant de Direction,0,2,0
Oui,0,0,12,3,Infra & Cloud,Occasionnel,0,3,4,1,2,4,3,3,Non,21,Célibataire,Commercial,Représentant Commercial,1,1,1
Non,0,4,23,3,Infra & Cloud,Occasionnel,1,4,3,1,4,4,3,3,Non,29,Célibataire,Consulting,Assistant de Direction,9,3,0
Non,0,5,9,4,Infra & Cloud,Occasionnel,0,3,2,2,2,3,3,3,Non,35,Célibataire,Consulting,Manager,9,1,0
Non,1,2,1,2,Transformation Digitale,Occasionnel,0,4,3,1,2,2,3,3,Non,27,Divorcé(e),Consulting,Consultant,1,5,0
Non,0,1,9,4,Infra & Cloud,Occasionnel,0,2,3,2,4,4,3,3,Non,28,Célibataire,Commercial,Cadre Commercial,1,7,0
Non,0,2,7,3,Autre,Occasionnel,0,2,2,3,3,3,3,4,Non,49,Célibataire,Consulting,Manager,8,5,0
Non,1,2,14,2,Infra & Cloud,Occasionnel,0,3,3,2,4,3,2,3,Non,51,Marié(e),Commercial,Cadre Commercial,4,7,0
Non,1,3,2,3,Infra & Cloud,Occasionnel,2,4,3,1,3,2,3,3,Non,36,Marié(e),Consulting,Assistant de Direction,4,2,0
